staffid,pracid,jobcatid
0,13,14
1,13,1
2,13,14
3,13,14
4,13,1
5,13,1
6,13,1
7,13,1
8,13,1
9,13,1
10,13,1
11,13,14
12,13,1
13,13,14
14,13,1
15,13,14
16,13,1
17,13,14
18,13,1
19,13,14
20,13,14
21,13,1
22,13,1
23,13,14
24,13,1
25,13,14
26,13,14
27,13,1
28,13,1
29,13,14
30,13,1
31,13,1
32,13,14
33,13,1
34,13,14
35,13,1
36,13,14
37,13,14
38,13,14
39,13,1
40,13,1
41,13,14
42,13,14
43,13,14
44,13,1
45,13,1
46,13,14
47,13,14
48,13,14
49,13,31
50,13,14
51,13,14
52,13,1
53,13,14
54,13,1
55,13,1
56,13,14
57,13,14
58,13,1
59,13,14
60,13,14
61,13,14
62,13,1
63,13,28
64,13,1
65,13,14
66,13,14
67,13,14
68,13,1
69,13,1
70,13,14
71,13,1
72,13,1
73,13,14
74,13,14
75,13,31
76,13,14
77,13,14
78,13,1
79,13,14
80,13,14
81,13,14
82,13,1
83,13,14
84,13,1
85,13,1
86,13,14
87,13,1
88,13,1
89,13,14
90,13,14
91,13,1
92,13,14
93,13,14
94,13,1
95,13,14
96,13,14
97,13,1
98,13,14
99,13,1
100,13,31
101,13,1
102,13,28
103,13,14
104,13,14
105,13,14
106,13,1
107,13,1
108,13,14
109,13,1
110,13,14
111,13,14
112,13,1
113,13,14
114,13,1
115,13,14
116,13,1
117,13,14
118,13,1
119,13,14
120,13,1
121,13,1
122,13,1
123,13,1
124,13,1
125,13,1
126,13,14
127,13,14
128,13,1
129,13,14
130,13,1
131,13,14
132,13,14
133,13,14
134,13,1
135,13,1
136,13,1
137,13,1
138,13,1
139,13,1
140,13,1
141,13,1
142,13,14
143,13,14
144,13,1
145,13,14
146,13,14
147,13,1
148,13,1
149,13,14
150,13,1
151,13,1
152,13,14
153,13,1
154,13,14
155,13,14
156,13,1
157,13,1
158,13,1
159,13,1
160,13,1
161,13,1
162,13,14
163,13,1
164,13,14
165,13,31
166,13,14
167,13,14
168,13,14
169,13,14
170,13,1
171,13,14
172,13,14
173,13,1
174,13,14
175,13,14
176,13,14
177,13,14
178,13,14
179,13,14
180,13,14
181,13,14
182,13,14
183,13,1
184,13,1
185,13,14
186,13,1
187,13,14
188,13,1
189,13,1
190,13,1
191,13,14
192,13,1
193,13,1
194,13,14
195,13,1
196,13,14
197,13,14
198,13,14
199,13,1
200,13,14
201,13,14
202,13,1
203,13,14
204,13,1
205,13,1
206,13,14
207,13,1
208,13,1
209,13,14
210,13,1
211,13,1
212,13,14
213,13,1
214,13,1
215,13,1
216,13,1
217,13,1
218,13,14
219,13,1
220,9,31
221,9,30
222,9,5
223,9,30
224,9,11
225,9,31
226,9,28
227,9,31
228,9,31
229,9,31
230,9,31
231,9,28
232,9,9
233,9,18
234,9,18
235,9,9
236,9,14
237,9,28
238,9,33
239,9,9
240,9,33
241,9,70
242,9,27
243,9,27
244,13,1
245,13,1
246,13,1
247,13,14
248,13,14
249,13,1
250,13,1
251,13,14
252,13,14
253,13,14
254,13,14
255,13,1
256,13,31
257,13,1
258,13,14
259,13,14
260,13,14
261,13,1
262,13,14
263,13,14
264,13,14
265,13,1
266,13,1
267,13,14
268,13,1
269,13,14
270,13,14
271,13,1
272,13,14
273,13,14
274,13,14
275,13,1
276,13,1
277,13,1
278,13,1
279,13,14
280,13,1
281,13,1
282,13,14
283,13,14
284,13,1
285,13,1
286,13,14
287,13,1
288,13,1
289,13,1
290,13,14
291,13,1
292,13,1
293,13,14
294,13,1
295,13,1
296,13,14
297,13,14
298,13,14
299,13,1
300,13,1
301,13,1
302,13,1
303,13,1
304,13,14
305,13,1
306,13,1
307,13,1
308,13,1
309,13,1
310,13,14
311,13,14
312,13,1
313,13,14
314,13,14
315,13,1
316,13,14
317,13,14
318,13,1
319,13,14
320,13,1
321,13,1
322,13,14
323,13,1
324,13,1
325,13,1
326,13,1
327,13,1
328,13,1
329,13,1
330,13,14
331,13,1
332,13,1
333,13,14
334,13,1
335,13,14
336,13,1
337,13,14
338,13,1
339,13,14
340,13,14
341,13,1
342,13,1
343,13,1
344,13,14
345,13,14
346,13,1
347,13,1
348,13,14
349,13,1
350,13,14
351,13,1
352,13,14
353,13,1
354,13,1
355,13,1
356,13,14
357,13,14
358,13,14
359,13,14
360,13,14
361,13,1
362,13,14
363,13,1
364,13,14
365,13,1
366,13,14
367,13,1
368,13,1
369,13,1
370,13,4
371,13,1
372,13,14
373,13,1
374,13,14
375,13,1
376,13,1
377,13,14
378,13,1
379,13,1
380,13,14
381,13,14
382,13,1
383,13,1
384,13,1
385,13,1
386,13,14
387,13,31
388,13,14
389,13,14
390,13,1
391,13,1
392,13,14
393,13,14
394,12,11
395,12,4
396,12,181
397,13,14
398,13,14
399,13,28
400,13,14
401,13,1
402,13,1
403,13,14
404,13,1
405,13,14
406,13,14
407,13,1
408,13,1
409,13,14
410,13,1
411,13,1
412,13,1
413,13,14
414,13,1
415,13,14
416,13,14
417,13,14
418,13,14
419,13,14
420,13,1
421,13,14
422,13,1
423,13,1
424,13,1
425,13,1
426,13,14
427,13,14
428,13,1
429,13,1
430,13,1
431,13,14
432,13,1
433,13,14
434,13,1
435,13,1
436,13,1
437,13,14
438,13,14
439,13,1
440,13,14
441,13,1
442,13,14
443,13,14
444,13,14
445,13,1
446,13,1
447,13,14
448,13,1
449,13,14
450,13,1
451,13,1
452,13,1
453,13,1
454,13,1
455,13,14
456,13,14
457,13,1
458,13,14
459,13,1
460,13,14
461,13,1
462,13,14
463,13,1
464,13,1
465,13,1
466,13,1
467,13,14
